#M9 media + 0.4pct. glucose + amino acids.
#amino acid concentrations unknown
#M9 recipe from: Maniatis, T., Fritsch, E. F., & Sambrook, J. (1982).
#Molecular cloning: a laboratory manual (Vol. 545). Cold Spring Harbor, NY: Cold spring harbor laboratory.
"molecule id"	"concentration (units.mmol / units.L)"
"GLC[p]"	22.203
"ACET[p]"	0
"FUM[p]"	0
"MAL[p]"	0
"SUC[p]"	0
"OXYGEN-MOLECULE[p]"	Infinity
"AMMONIUM[c]"	18.695
"NA+[p]"	103.7
"PI[p]"	69.454
"K+[p]"	21.883
"SULFATE[p]"	2
"FE+2[p]"	Infinity
"FE+3[p]"	0
"CA+2[p]"	Infinity
"CL-[p]"	27.25
"CO+2[p]"	Infinity
"MG+2[p]"	2
"MN+2[p]"	Infinity
"NI+2[p]"	Infinity
"ZN+2[p]"	Infinity
"WATER[p]"	Infinity
"CARBON-DIOXIDE[p]"	Infinity
"CPD0-1958[p]"	Infinity
"L-SELENOCYSTEINE[c]"	Infinity
"GLC-D-LACTONE[c]"	Infinity
"CYTOSINE[c]"	Infinity
"CYTIDINE[c]"	0
"ARABINOSE[c]"	0
"CPD-183[p]"	0
"INDOLE[p]"	0
"NITRATE[p]"	0
"NITRITE[p]"	0
"S-ADENOSYLMETHIONINE[c]"	0
"CPD-520[p]"	0
"TUNGSTATE[p]"	0
"L-ALPHA-ALANINE[p]"	Infinity
"ARG[p]"	Infinity
"ASN[p]"	Infinity
"L-ASPARTATE[p]"	Infinity
"CYS[p]"	Infinity
"GLT[p]"	Infinity
"GLN[p]"	Infinity
"GLY[p]"	Infinity
"HIS[p]"	Infinity
"ILE[p]"	Infinity
"LEU[p]"	Infinity
"LYS[p]"	Infinity
"MET[p]"	Infinity
"PHE[p]"	Infinity
"PRO[p]"	Infinity
"SER[p]"	Infinity
"THR[p]"	Infinity
"TRP[p]"	Infinity
"TYR[p]"	Infinity
"VAL[p]"	Infinity
"MI-PENTAKISPHOSPHATE[p]"	0
"HYPOXANTHINE[p]"	0
"CARBON-MONOXIDE[p]"	0
"HYDROGEN-MOLECULE[c]"	0
"CPD0-2167[c]"	0
"CPD-239[p]"	0
"UNDECAPRENYL-DIPHOSPHATE[p]"	0
"GLYCOLLATE[c]"	0
"CPD-10774[p]"	0
"BETAINE[p]"	0
"CPD-10774[c]"	0
"CH33ADO[c]"	0
"URACIL[p]"	0
"METOH[p]"	0
"CPD-1772[c]"	0
"4FE-4S[c]"	0
"CPD-560[p]"	0
"CPD-108[p]"	0
"THYMINE[p]"	0
"S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE[c]"	0
"UREA[p]"	0
"FORMATE[p]"	0
"D-ALANINE[p]"	0
"CPD-534[p]"	0
"GLYCEROL[p]"	0
"GLYCOLALDEHYDE[c]"	0
"D-LACTATE[p]"	0
"BUTANAL[c]"	0
"CPD-564[c]"	0
"XANTHINE[p]"	0
"PROTON[p]"	0
"ETOH[p]"	0
